0   0   (0.25,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0.5,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.10000000000000001   0   (0.25,0)   (0.013128227289054823,0)   (0.0069045273019157152,0)   (0.00068085068117601174,0)   (0.00020720081605402071,0)   (2.8594367718966968e-05,0)   (1.3143362393392768e-05,0)   (2.8594367718966968e-05,0)   (0.00020720081605402174,0)   (0.00068085068117601229,0)   (0.0069045273019157152,0)   (0.013128227289054823,0)   (0.50000000000000566,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.20000000000000001   0   (0.25,0)   (0.027507439843563967,0)   (0.015230160822633164,0)   (0.0029537387268418571,0)   (0.0010673836641700431,0)   (0.00027785029850699408,0)   (0.00015860792354126338,0)   (0.00027785029850699289,0)   (0.0010673836641700431,0)   (0.0029537387268418571,0)   (0.015230160822633164,0)   (0.027507439843563967,0)   (0.49999999999999861,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.29999999999999999   0   (0.25,0)   (0.043080369886259552,0)   (0.0251224676822383,0)   (0.0071716891115310025,0)   (0.003023452072982782,0)   (0.0011298535796169138,0)   (0.00075249545638230732,0)   (0.0011298535796169138,0)   (0.0030234520729827781,0)   (0.0071716891115310051,0)   (0.0251224676822383,0)   (0.043080369886259552,0)   (0.50000000000000155,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.40000000000000002   0   (0.25,0)   (0.059715805678096291,0)   (0.036684911592360127,0)   (0.013685306128557204,0)   (0.0066398920727136282,0)   (0.0031882345327441846,0)   (0.0023759588263282004,0)   (0.0031882345327441846,0)   (0.0066398920727136282,0)   (0.013685306128557204,0)   (0.036684911592360127,0)   (0.059715805678096291,0)   (0.49999999999999972,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.5   0   (0.25,0)   (0.077211924102469132,0)   (0.049974562536542991,0)   (0.02283164821561115,0)   (0.012597857127705623,0)   (0.0072939984444886675,0)   (0.0059035788926290553,0)   (0.0072939984444886649,0)   (0.012597857127705623,0)   (0.022831648215611147,0)   (0.049974562536542991,0)   (0.077211924102469132,0)   (0.5,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.59999999999999998   0   (0.25,0)   (0.095318546210137634,0)   (0.065009370610407416,0)   (0.034920128892240831,0)   (0.021650253078480727,0)   (0.014466006682905116,0)   (0.012440144109510168,0)   (0.014466006682905116,0)   (0.021650253078480727,0)   (0.034920128892240831,0)   (0.065009370610407416,0)   (0.095318546210137634,0)   (0.50000000000000278,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.69999999999999996   0   (0.25,0)   (0.11376487995388189,0)   (0.081765922973126737,0)   (0.05018676283936456,0)   (0.03450250487635341,0)   (0.025726608891717087,0)   (0.023124218011393628,0)   (0.025726608891717094,0)   (0.03450250487635341,0)   (0.05018676283936456,0)   (0.081765922973126737,0)   (0.11376487995388189,0)   (0.50000000000000411,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.80000000000000004   0   (0.25,0)   (0.13226434051688243,0)   (0.10013128973357879,0)   (0.068678940592967266,0)   (0.051593561632449547,0)   (0.04179982718279468,0)   (0.038791961280123743,0)   (0.04179982718279468,0)   (0.051593561632449547,0)   (0.068678940592967266,0)   (0.10013128973357879,0)   (0.13226434051688243,0)   (0.49999999999999856,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.90000000000000002   0   (0.25,0)   (0.15047914670244367,0)   (0.119794633153051,0)   (0.090069793549238081,0)   (0.0728060528608344,0)   (0.062738544961438922,0)   (0.0595698035980715,0)   (0.062738544961438922,0)   (0.0728060528608344,0)   (0.090069793549238081,0)   (0.119794633153051,0)   (0.15047914670244367,0)   (0.4999999999999965,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   
