0   0   (0.24999999999999994,0)   (5.5511151231257827e-17,0)   (0.49999999999999989,0)   (0,0)   
0   0.10000000000000001   (0.24013262425036058,0)   (0.0098673757496394177,0)   (0.48026524850072116,0)   (0.019734751499278724,0)   
0   1   (0.043294547392048466,0)   (0.20670545260795153,0)   (0.086589094784096904,0)   (0.41341090521590296,0)   
0   2   (0.10681249577392354,0)   (0.14318750422607646,0)   (0.21362499154784678,0)   (0.28637500845215308,0)   
0   10   (0.041632742293467973,0)   (0.20836725770653203,0)   (0.083265484586935834,0)   (0.41673451541306405,0)   
0.10000000000000001   0   (0.24999999999999994,0)   (0.022455804250671067,0)   (0.49999999999999989,0)   (0.044911608501342008,0)   
0.10000000000000001   0.10000000000000001   (0.24101894368356747,0.0087447020665038511)   (0.031436860567103549,-0.0087447020665038511)   (0.48203788736713493,0.017489404133007706)   (0.062873721134206972,-0.017489404133007706)   
0.10000000000000001   1   (0.061861496117290533,-0.016994608691054187)   (0.21059430813338048,0.016994608691054187)   (0.12372299223458104,-0.033989217382108403)   (0.42118861626676091,0.033989217382108403)   
0.10000000000000001   2   (0.11967405803809514,0.02221683511996176)   (0.15278174621257587,-0.02221683511996176)   (0.23934811607619,0.044433670239923527)   (0.30556349242515185,-0.044433670239923527)   
0.10000000000000001   10   (0.060348959698695998,0.016732115276323178)   (0.21210684455197501,-0.016732115276323178)   (0.12069791939739187,0.033464230552646364)   (0.42421368910395002,-0.033464230552646364)   
0.20000000000000001   0   (0.24999999999999997,0)   (0.039911461157468263,0)   (0.49999999999999989,0)   (0.079822922314936456,0)   
0.20000000000000001   0.10000000000000001   (0.24170790978619208,0.015542255043057358)   (0.048203551371276139,-0.015542255043057358)   (0.48341581957238428,0.031084510086114726)   (0.096407102742552125,-0.031084510086114726)   
0.20000000000000001   1   (0.076294213963245053,-0.030205093395357364)   (0.21361724719422318,0.030205093395357364)   (0.15258842792649008,-0.060410186790714769)   (0.4272344943884463,0.060410186790714769)   
0.20000000000000001   2   (0.12967178582653902,0.039486733230929959)   (0.16023967533092923,-0.039486733230929959)   (0.25934357165307775,0.078973466461859931)   (0.32047935066185856,-0.078973466461859931)   
0.20000000000000001   10   (0.074897709143237665,0.029738554962390088)   (0.21501375201423056,-0.029738554962390088)   (0.14979541828647522,0.059477109924780197)   (0.43002750402846113,-0.059477109924780197)   
0.29999999999999999   0   (0.24999999999999994,0)   (0.052920681367835849,0)   (0.49999999999999989,0)   (0.10584136273567156,0)   
0.29999999999999999   0.10000000000000001   (0.24222137724229406,0.020608284012106886)   (0.060699304125541718,-0.020608284012106886)   (0.48444275448458812,0.041216568024213779)   (0.12139860825108327,-0.041216568024213779)   
0.29999999999999999   1   (0.087050520969887205,-0.040050503712573855)   (0.2158701603979486,0.040050503712573855)   (0.17410104193977435,-0.080101007425147766)   (0.43174032079589703,0.080101007425147766)   
0.29999999999999999   2   (0.13712281692193887,0.052357512528196669)   (0.16579786444589692,-0.052357512528196669)   (0.27424563384387746,0.10471502505639335)   (0.33159572889179395,-0.10471502505639335)   
0.29999999999999999   10   (0.085740491303776409,0.039431896148708942)   (0.21718019006405939,-0.039431896148708942)   (0.17148098260755271,0.078863792297417898)   (0.43436038012811867,-0.078863792297417898)   
0.40000000000000002   0   (0.24999999999999997,0)   (0.062314902864599495,0)   (0.49999999999999994,0)   (0.12462980572919885,0)   
0.40000000000000002   0.10000000000000001   (0.24259216249582971,0.024266566174656872)   (0.069722740368769742,-0.024266566174656872)   (0.48518432499165937,0.048533132349313772)   (0.13944548073753935,-0.048533132349313772)   
0.40000000000000002   1   (0.094817868195438748,-0.047160073982799956)   (0.21749703466916073,0.047160073982799956)   (0.18963573639087741,-0.094320147965599982)   (0.43499406933832135,0.094320147965599982)   
0.40000000000000002   2   (0.14250335744301307,0.061651763036626436)   (0.16981154542158641,-0.061651763036626436)   (0.28500671488602586,0.12330352607325291)   (0.33962309084317294,-0.12330352607325291)   
0.40000000000000002   10   (0.093570283990049991,0.046431654218405581)   (0.21874461887454949,-0.046431654218405581)   (0.18714056798009984,0.09286330843681119)   (0.43748923774909898,-0.09286330843681119)   
0.5   0   (0.25,0)   (0.068945155673334632,0)   (0.5,0)   (0.13789031134666913,0)   
0.5   0.10000000000000001   (0.24285385527894529,0.026848508232521783)   (0.076091300394389313,-0.026848508232521783)   (0.48570771055789058,0.053697016465043594)   (0.15218260078877849,-0.053697016465043594)   
0.5   1   (0.1002999058263777,-0.052177865852973106)   (0.21864524984695691,0.052177865852973106)   (0.20059981165275528,-0.10435573170594628)   (0.43729049969391381,0.10435573170594628)   
0.5   2   (0.14630083485129591,0.068211458330146371)   (0.17264432082203868,-0.068211458330146371)   (0.29260166970259166,0.1364229166602928)   (0.34528864164407735,-0.1364229166602928)   
0.5   10   (0.099096394372678684,0.05137194284349933)   (0.21984876130065592,-0.05137194284349933)   (0.19819278874535723,0.10274388568699869)   (0.43969752260131179,-0.10274388568699869)   
0.59999999999999998   0   (0.24999999999999992,0)   (0.073549419621325413,0)   (0.49999999999999983,0)   (0.14709883924265066,0)   
0.59999999999999998   0.10000000000000001   (0.24303558328864666,0.02864149306669983)   (0.080513836332678723,-0.02864149306669983)   (0.48607116657729332,0.057282986133399709)   (0.16102767266535722,-0.057282986133399709)   
0.59999999999999998   1   (0.10410681167956132,-0.055662384297868857)   (0.21944260794176407,0.055662384297868857)   (0.20821362335912252,-0.1113247685957378)   (0.43888521588352797,0.1113247685957378)   
0.59999999999999998   2   (0.14893792710533951,0.072766724836721794)   (0.17461149251598582,-0.072766724836721794)   (0.2978758542106788,0.14553344967344362)   (0.3492229850319718,-0.14553344967344362)   
0.59999999999999998   10   (0.10293390578307825,0.054802640505467883)   (0.22061551383824712,-0.054802640505467883)   (0.20586781156615636,0.10960528101093581)   (0.44123102767649414,-0.10960528101093581)   
0.69999999999999996   0   (0.24999999999999992,0)   (0.076710896638360129,0)   (0.49999999999999983,0)   (0.15342179327672006,0)   
0.69999999999999996   0.10000000000000001   (0.24316036521525039,0.029872630205920382)   (0.083550531423109684,-0.029872630205920382)   (0.48632073043050078,0.059745260411840806)   (0.16710106284621923,-0.059745260411840806)   
0.69999999999999996   1   (0.1067207898304245,-0.058054997993219379)   (0.21999010680793557,0.058054997993219379)   (0.21344157966084892,-0.11610999598643885)   (0.43998021361587103,0.11610999598643885)   
0.69999999999999996   2   (0.15074866312028873,0.075894558195035364)   (0.17596223351807136,-0.075894558195035364)   (0.30149732624057718,0.15178911639007078)   (0.35192446703614272,-0.15178911639007078)   
0.69999999999999996   10   (0.10556889896844524,0.057158298637413445)   (0.22114199766991485,-0.057158298637413445)   (0.2111377979368903,0.11431659727482694)   (0.44228399533982965,-0.11431659727482694)   
0.80000000000000004   0   (0.25,0)   (0.078864913767888581,0)   (0.49999999999999983,0)   (0.15772982753577694,0)   
0.80000000000000004   0.10000000000000001   (0.24324538320080327,0.030711443985805789)   (0.085619530567085295,-0.030711443985805789)   (0.48649076640160654,0.061422887971611613)   (0.17123906113417037,-0.061422887971611613)   
0.80000000000000004   1   (0.10850177817316234,-0.059685163531782527)   (0.22036313559472623,0.059685163531782527)   (0.21700355634632457,-0.11937032706356517)   (0.44072627118945235,0.11937032706356517)   
0.80000000000000004   2   (0.15198237646763832,0.078025652805502346)   (0.17688253730025022,-0.078025652805502346)   (0.30396475293527636,0.15605130561100475)   (0.35376507460050044,-0.15605130561100475)   
0.80000000000000004   10   (0.1073642055377762,0.05876328514852306)   (0.22150070823011234,-0.05876328514852306)   (0.21472841107555224,0.11752657029704616)   (0.44300141646022462,-0.11752657029704616)   
0.90000000000000002   0   (0.25,0)   (0.080324765926122643,0)   (0.49999999999999983,0)   (0.16064953185224506,0)   
0.90000000000000002   0.10000000000000001   (0.24330300283994016,0.031279937193281003)   (0.087021763086182494,-0.031279937193281003)   (0.48660600567988022,0.062559874386562048)   (0.17404352617236479,-0.062559874386562048)   
0.90000000000000002   1   (0.10970881577759621,-0.060789983287914739)   (0.22061595014852642,0.060789983287914739)   (0.21941763155519234,-0.12157996657582958)   (0.44123190029705267,0.12157996657582958)   
0.90000000000000002   2   (0.15281850681594469,0.079469969577102173)   (0.17750625911017792,-0.079469969577102173)   (0.30563701363188911,0.1589399391542044)   (0.35501251822035595,-0.1589399391542044)   
0.90000000000000002   10   (0.10858094710124898,0.059851040203977447)   (0.22174381882487362,-0.059851040203977447)   (0.21716189420249779,0.11970208040795495)   (0.44348763764974725,-0.11970208040795495)   
1   0   (0.24999999999999992,0)   (0.081310611493294424,0)   (0.49999999999999983,0)   (0.16262122298658865,0)   
1   0.10000000000000001   (0.24334191367450972,0.031663843539821372)   (0.087968697818784664,-0.031663843539821372)   (0.48668382734901944,0.063327687079642786)   (0.17593739563756911,-0.063327687079642786)   
1   1   (0.11052393439425134,-0.061536073673138604)   (0.22078667709904301,0.061536073673138604)   (0.22104786878850258,-0.12307214734627731)   (0.44157335419808597,0.12307214734627731)   
1   2   (0.15338314988120735,0.080445324018880673)   (0.17792746161208703,-0.080445324018880673)   (0.30676629976241437,0.1608906480377614)   (0.35585492322417406,-0.1608906480377614)   
1   10   (0.10940261885066388,0.060585606710277379)   (0.2219079926426305,-0.060585606710277379)   (0.21880523770132762,0.12117121342055481)   (0.44381598528526089,-0.12117121342055481)   
1.1000000000000001   0   (0.24999999999999992,0)   (0.081974744407890071,0)   (0.49999999999999983,0)   (0.16394948881577992,0)   
